voltage in (V),current (mA),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.6,33,1.92,2.05,2.2,1.48,1.63,1.76,0.16,0.228,0.28
2.8,37,2.04,2.15,2.28,1.52,1.65,1.76,0.16,0.221,0.28
3,40,2.08,2.21,2.32,1.56,1.66,1.8,0.16,0.217,0.28
3.2,45,2.2,2.32,2.44,1.56,1.66,1.8,0.16,0.214,0.28
3.3,47,2.24,2.36,2.48,1.52,1.67,1.76,0.16,0.211,0.26
3.5,52,2.32,2.43,2.56,1.56,1.68,1.8,0.16,0.209,0.24
3.7,55,2.4,2.53,2.64,1.56,1.66,1.8,0.16,0.207,0.24
4,61.5,2.48,2.64,2.76,1.56,1.65,1.8,0.16,0.205,0.24
4.2,65.6,2.56,2.71,2.84,1.52,1.64,1.76,0.16,0.204,0.24
4.4,71.8,2.64,2.78,2.92,1.52,1.64,1.76,0.16,0.203,0.24
4.6,76.2,2.72,2.87,3,1.52,1.62,1.76,0.16,0.202,0.24
