voltage in (V),all black v min (V),all black v mean (V),all black v max (V),black line min (V),black line mean (V),black line max (V),all white min (V),all white mean (V),all white max (V)
2.5,2.2,2.24,2.28,1.68,1.76,1.8,0.64,0.68,0.76
2.7,2.32,2.36,2.4,1.76,1.79,1.88,0.48,0.522,0.6
2.9,2.44,2.5,2.56,1.76,1.83,1.88,0.24,0.334,0.4
3.1,2.6,2.64,2.68,1.8,1.87,1.92,0.24,0.279,0.36
3.3,2.72,2.78,2.84,1.84,1.89,1.96,0.2,0.258,0.32
3.5,2.84,2.9,2.96,1.84,1.91,2,0.2,0.247,0.32
3.7,3,3.03,3.08,1.88,1.92,2,0.2,0.241,0.32
3.9,3.08,3.13,3.2,1.88,1.94,2,0.2,0.236,0.32
4.1,3.24,3.27,3.32,1.92,1.95,2,0.2,0.233,0.32
4.3,3.36,3.4,3.44,1.92,1.96,2,0.16,0.23,0.28
4.5,3.48,3.52,3.56,1.92,1.97,2.04,0.16,0.227,0.28
4.7,3.6,3.64,3.68,1.92,1.97,2.04,0.16,0.225,0.28
